product_name,product_type,brand,notable_effects,skintype,price,description,labels,Sensitive,Combination,Oily,Dry,Normal
Khadi Natural Neem Face Wash #17,Face Wash,Forest Essentials,"Deep Clean, Anti-Aging, Nourishing",Sensitive,Rs 430,"This face wash helps with Soothing, Hydrating and suits Oily skin.",18,1,0,1,1,0
Himalaya Neem Face Wash #18,Cream,Forest Essentials,"Anti-Aging, Hydrating, Pore-Care",Dry,Rs 566,"This cleanser helps with Refreshing, Nourishing and suits Combination skin.",18,1,1,1,0,0
Biotique Advanced Fairness Face Wash #19,Cleanser,Nykaa,"Pore-Care, Refreshing, Hydrating",Oily,Rs 721,"This cleanser helps with Acne-Free, Brightening and suits Normal skin.",22,1,1,1,0,1
Lotus Herbals Herbal Face Wash #20,Gel,Khadi Natural,"Refreshing, Acne-Free, Glow",Oily,Rs 188,"This mask helps with Nourishing, Refreshing and suits Dry skin.",24,1,1,1,0,0
Biotique Skin Whitening Gel Cream #21,Face Wash,Mamaearth,"Glow, Anti-Aging, Refreshing",Normal,Rs 844,"This cleanser helps with Deep Clean, Brightening and suits Normal skin.",11,1,0,0,0,1
VLCC Blush & Glow Face Wash #22,Cleanser,Patanjali,"Deep Clean, Nourishing, Brightening",Dry,Rs 369,"This mask helps with Hydrating, Anti-Aging and suits Normal skin.",11,1,0,1,1,0
Biotique Radiance Cream #23,Mask,VLCC,"Refreshing, Hydrating, Anti-Aging",Normal,Rs 264,"This gel helps with Deep Clean, Acne-Free and suits Combination skin.",15,0,0,1,0,0
Himalaya Blush & Glow Face Wash #24,Cleanser,Forest Essentials,"Refreshing, Hydrating, Acne-Free",Oily,Rs 125,"This cream helps with Pore-Care, Brightening and suits Dry skin.",15,1,1,0,0,0
Patanjali Skin Whitening Gel Cream #25,Cleanser,Patanjali,"Nourishing, Anti-Aging, Glow",Dry,Rs 440,"This cleanser helps with Brightening, Glow and suits Sensitive skin.",24,1,1,1,1,1
Khadi Natural Radiance Cream #26,Mask,VLCC,"Pore-Care, Nourishing, Refreshing",Dry,Rs 255,"This gel helps with Glow, Refreshing and suits Dry skin.",11,1,0,0,1,0
Forest Essentials Advanced Fairness Face Wash #27,Cleanser,Lakme,"Anti-Aging, Nourishing, Refreshing",Oily,Rs 463,"This face wash helps with Hydrating, Anti-Aging and suits Dry skin.",19,0,0,1,0,1
Khadi Natural Radiance Cream #28,Cleanser,Biotique,"Soothing, Refreshing, Brightening",Sensitive,Rs 766,"This cream helps with Brightening, Glow and suits Normal skin.",23,1,0,1,0,1
VLCC Skin Whitening Gel Cream #29,Cream,VLCC,"Pore-Care, Acne-Free, Deep Clean",Dry,Rs 273,"This cream helps with Refreshing, Glow and suits Combination skin.",22,1,0,0,0,0
Himalaya Potion Face Wash #30,Mask,Lakme,"Hydrating, Brightening, Acne-Free",Combination,Rs 709,"This cleanser helps with Nourishing, Pore-Care and suits Normal skin.",24,0,1,1,0,0
Biotique Radiance Cream #31,Mask,Forest Essentials,"Hydrating, Glow, Brightening",Oily,Rs 500,"This face wash helps with Glow, Refreshing and suits Sensitive skin.",18,0,0,1,1,0
VLCC Skin Brightening Face Wash #32,Gel,Nykaa,"Brightening, Soothing, Hydrating",Dry,Rs 137,"This gel helps with Refreshing, Brightening and suits Dry skin.",23,1,0,0,1,1
Lotus Herbals Potion Face Wash #33,Cream,Patanjali,"Pore-Care, Acne-Free, Deep Clean",Dry,Rs 711,"This cleanser helps with Deep Clean, Brightening and suits Sensitive skin.",20,0,1,0,0,1
Nykaa Skin Brightening Face Wash #34,Gel,Khadi Natural,"Glow, Hydrating, Pore-Care",Sensitive,Rs 520,"This mask helps with Refreshing, Pore-Care and suits Combination skin.",23,1,1,0,0,0
Khadi Natural Aloe Vera Gel #35,Cleanser,Forest Essentials,"Anti-Aging, Deep Clean, Nourishing",Dry,Rs 542,"This gel helps with Glow, Hydrating and suits Sensitive skin.",22,1,0,1,0,0
Mamaearth Herbal Face Wash #36,Mask,Khadi Natural,"Acne-Free, Soothing, Deep Clean",Dry,Rs 434,"This mask helps with Pore-Care, Brightening and suits Oily skin.",16,1,1,0,0,0
Mamaearth Skin Whitening Gel Cream #37,Cream,Biotique,"Anti-Aging, Deep Clean, Refreshing",Combination,Rs 336,"This cream helps with Refreshing, Nourishing and suits Sensitive skin.",15,0,0,0,1,1
Patanjali Radiance Cream #38,Cream,Nykaa,"Pore-Care, Glow, Hydrating",Oily,Rs 262,"This cleanser helps with Anti-Aging, Glow and suits Oily skin.",23,0,1,1,1,1
Nykaa Radiance Cream #39,Face Wash,Himalaya,"Glow, Anti-Aging, Soothing",Sensitive,Rs 957,"This cleanser helps with Deep Clean, Refreshing and suits Combination skin.",11,0,0,0,0,0
Lakme Skin Brightening Face Wash #40,Gel,Lakme,"Acne-Free, Hydrating, Anti-Aging",Combination,Rs 104,"This cream helps with Brightening, Pore-Care and suits Combination skin.",20,0,1,0,1,1
Patanjali Blush & Glow Face Wash #41,Cleanser,Forest Essentials,"Brightening, Pore-Care, Acne-Free",Dry,Rs 744,"This mask helps with Deep Clean, Brightening and suits Combination skin.",18,0,0,1,0,0
Mamaearth Vitamin C Face Wash #42,Cream,Nykaa,"Anti-Aging, Pore-Care, Soothing",Dry,Rs 987,"This gel helps with Anti-Aging, Deep Clean and suits Sensitive skin.",12,1,1,0,1,0
Mamaearth Neem Face Wash #43,Cream,VLCC,"Hydrating, Brightening, Nourishing",Normal,Rs 226,"This gel helps with Hydrating, Deep Clean and suits Dry skin.",19,1,0,1,0,1
Nykaa Neem Face Wash #44,Gel,Patanjali,"Acne-Free, Nourishing, Brightening",Sensitive,Rs 501,"This gel helps with Brightening, Anti-Aging and suits Normal skin.",11,1,1,0,1,1
Mamaearth Blush & Glow Face Wash #45,Gel,Biotique,"Hydrating, Acne-Free, Brightening",Dry,Rs 785,"This face wash helps with Deep Clean, Soothing and suits Combination skin.",11,1,0,0,1,1
Patanjali Radiance Cream #46,Gel,Patanjali,"Refreshing, Acne-Free, Glow",Sensitive,Rs 578,"This mask helps with Hydrating, Deep Clean and suits Sensitive skin.",16,1,0,0,0,0
Patanjali Radiance Cream #47,Gel,Forest Essentials,"Acne-Free, Nourishing, Brightening",Sensitive,Rs 912,"This face wash helps with Brightening, Soothing and suits Sensitive skin.",10,1,0,1,0,1
Forest Essentials Blush & Glow Face Wash #48,Cleanser,VLCC,"Acne-Free, Anti-Aging, Refreshing",Dry,Rs 249,"This mask helps with Glow, Brightening and suits Sensitive skin.",23,0,0,0,1,0
Nykaa Blush & Glow Face Wash #49,Mask,Forest Essentials,"Soothing, Hydrating, Refreshing",Normal,Rs 818,"This cream helps with Anti-Aging, Brightening and suits Oily skin.",24,1,1,0,1,0
Mamaearth Aloe Vera Gel #50,Face Wash,Lakme,"Hydrating, Anti-Aging, Pore-Care",Oily,Rs 800,"This gel helps with Soothing, Pore-Care and suits Oily skin.",14,1,1,0,0,1
VLCC Skin Brightening Face Wash #51,Cleanser,Lakme,"Deep Clean, Nourishing, Anti-Aging",Dry,Rs 957,"This cream helps with Acne-Free, Refreshing and suits Combination skin.",20,1,0,1,1,0
Lotus Herbals Herbal Face Wash #52,Face Wash,Patanjali,"Nourishing, Pore-Care, Refreshing",Dry,Rs 362,"This mask helps with Deep Clean, Hydrating and suits Combination skin.",10,1,0,0,1,1
Biotique Potion Face Wash #53,Face Wash,Patanjali,"Glow, Brightening, Nourishing",Combination,Rs 920,"This gel helps with Soothing, Glow and suits Sensitive skin.",11,0,1,0,0,0
Khadi Natural Neem Face Wash #54,Gel,Biotique,"Anti-Aging, Acne-Free, Deep Clean",Normal,Rs 897,"This cleanser helps with Acne-Free, Soothing and suits Normal skin.",10,0,0,0,1,1
Lotus Herbals Potion Face Wash #55,Face Wash,Mamaearth,"Hydrating, Deep Clean, Soothing",Sensitive,Rs 418,"This mask helps with Hydrating, Glow and suits Combination skin.",11,1,0,1,0,0
Mamaearth Blush & Glow Face Wash #56,Mask,Lotus Herbals,"Anti-Aging, Soothing, Acne-Free",Sensitive,Rs 780,"This gel helps with Hydrating, Refreshing and suits Normal skin.",16,0,0,1,1,0
Patanjali Herbal Face Wash #57,Cleanser,Forest Essentials,"Pore-Care, Glow, Refreshing",Normal,Rs 379,"This cleanser helps with Brightening, Hydrating and suits Dry skin.",21,0,1,0,1,1
VLCC Radiance Cream #58,Gel,Nykaa,"Anti-Aging, Glow, Pore-Care",Sensitive,Rs 577,"This mask helps with Glow, Pore-Care and suits Normal skin.",10,0,0,1,0,0
Patanjali Herbal Face Wash #59,Gel,Khadi Natural,"Deep Clean, Brightening, Anti-Aging",Oily,Rs 550,"This cream helps with Hydrating, Pore-Care and suits Dry skin.",16,0,1,1,0,0
Lakme Advanced Fairness Face Wash #60,Mask,Lakme,"Glow, Anti-Aging, Soothing",Oily,Rs 250,"This cream helps with Hydrating, Refreshing and suits Normal skin.",12,0,0,0,1,1
Mamaearth Skin Whitening Gel Cream #61,Gel,Nykaa,"Pore-Care, Refreshing, Soothing",Sensitive,Rs 372,"This mask helps with Pore-Care, Refreshing and suits Oily skin.",24,0,0,1,1,0
Biotique Skin Brightening Face Wash #62,Gel,Khadi Natural,"Anti-Aging, Brightening, Soothing",Oily,Rs 333,"This mask helps with Hydrating, Glow and suits Sensitive skin.",17,0,0,1,0,0
Himalaya Neem Face Wash #63,Gel,Lakme,"Glow, Pore-Care, Acne-Free",Combination,Rs 282,"This cream helps with Deep Clean, Glow and suits Oily skin.",22,0,1,0,1,1
VLCC Advanced Fairness Face Wash #64,Gel,Khadi Natural,"Soothing, Refreshing, Hydrating",Oily,Rs 728,"This cleanser helps with Hydrating, Soothing and suits Dry skin.",21,0,1,0,0,0
Biotique Vitamin C Face Wash #65,Mask,Mamaearth,"Nourishing, Glow, Brightening",Dry,Rs 425,"This cream helps with Brightening, Refreshing and suits Sensitive skin.",12,1,0,0,1,1
Khadi Natural Aloe Vera Gel #66,Cleanser,Patanjali,"Pore-Care, Anti-Aging, Acne-Free",Dry,Rs 833,"This cleanser helps with Glow, Pore-Care and suits Dry skin.",19,0,0,0,0,1
Nykaa Potion Face Wash #67,Face Wash,Biotique,"Hydrating, Brightening, Nourishing",Normal,Rs 770,"This cleanser helps with Glow, Refreshing and suits Normal skin.",20,1,0,1,1,1
Lotus Herbals Blush & Glow Face Wash #68,Face Wash,Lotus Herbals,"Pore-Care, Glow, Nourishing",Combination,Rs 444,"This cream helps with Anti-Aging, Nourishing and suits Normal skin.",10,0,1,1,1,1
Patanjali Skin Whitening Gel Cream #69,Face Wash,Biotique,"Glow, Soothing, Hydrating",Dry,Rs 738,"This face wash helps with Hydrating, Soothing and suits Normal skin.",15,0,0,1,1,1
Mamaearth Potion Face Wash #70,Mask,Nykaa,"Anti-Aging, Refreshing, Pore-Care",Normal,Rs 415,"This cream helps with Refreshing, Acne-Free and suits Dry skin.",18,1,1,1,0,0
Nykaa Vitamin C Face Wash #71,Face Wash,Patanjali,"Deep Clean, Refreshing, Soothing",Combination,Rs 838,"This face wash helps with Hydrating, Soothing and suits Sensitive skin.",16,0,1,1,1,0
Khadi Natural Advanced Fairness Face Wash #72,Face Wash,Khadi Natural,"Glow, Refreshing, Brightening",Normal,Rs 448,"This gel helps with Pore-Care, Acne-Free and suits Dry skin.",16,1,1,1,1,0
Lotus Herbals Skin Brightening Face Wash #73,Cream,Mamaearth,"Deep Clean, Nourishing, Acne-Free",Sensitive,Rs 783,"This gel helps with Soothing, Acne-Free and suits Dry skin.",10,1,1,0,0,0
Lotus Herbals Radiance Cream #74,Gel,VLCC,"Glow, Deep Clean, Pore-Care",Combination,Rs 295,"This gel helps with Nourishing, Soothing and suits Dry skin.",20,1,1,0,1,1
Nykaa Advanced Fairness Face Wash #75,Cleanser,Forest Essentials,"Soothing, Deep Clean, Pore-Care",Normal,Rs 261,"This cleanser helps with Deep Clean, Hydrating and suits Sensitive skin.",11,1,1,0,0,0
Lakme Advanced Fairness Face Wash #76,Face Wash,Forest Essentials,"Hydrating, Soothing, Refreshing",Normal,Rs 736,"This cleanser helps with Pore-Care, Nourishing and suits Dry skin.",16,1,1,0,0,0
VLCC Skin Brightening Face Wash #77,Cleanser,Himalaya,"Nourishing, Soothing, Brightening",Sensitive,Rs 391,"This mask helps with Hydrating, Anti-Aging and suits Combination skin.",12,0,0,0,0,1
Lotus Herbals Vitamin C Face Wash #78,Cleanser,Mamaearth,"Acne-Free, Pore-Care, Nourishing",Normal,Rs 276,"This cleanser helps with Pore-Care, Hydrating and suits Normal skin.",15,1,0,1,1,1
Mamaearth Neem Face Wash #79,Cream,Nykaa,"Nourishing, Soothing, Deep Clean",Normal,Rs 781,"This cleanser helps with Refreshing, Anti-Aging and suits Dry skin.",13,0,1,0,1,1
Forest Essentials Herbal Face Wash #80,Face Wash,Lotus Herbals,"Refreshing, Nourishing, Pore-Care",Oily,Rs 522,"This face wash helps with Anti-Aging, Soothing and suits Dry skin.",22,1,1,1,0,1
Lakme Aloe Vera Gel #81,Face Wash,Mamaearth,"Pore-Care, Hydrating, Anti-Aging",Normal,Rs 271,"This cleanser helps with Anti-Aging, Pore-Care and suits Combination skin.",12,0,1,1,1,1
Mamaearth Skin Brightening Face Wash #82,Gel,Patanjali,"Hydrating, Soothing, Refreshing",Sensitive,Rs 399,"This mask helps with Anti-Aging, Nourishing and suits Oily skin.",16,0,0,1,1,1
Nykaa Herbal Face Wash #83,Mask,Mamaearth,"Hydrating, Pore-Care, Acne-Free",Oily,Rs 725,"This face wash helps with Nourishing, Refreshing and suits Oily skin.",22,1,0,0,0,1
Mamaearth Herbal Face Wash #84,Face Wash,Lakme,"Soothing, Hydrating, Brightening",Oily,Rs 167,"This cleanser helps with Hydrating, Refreshing and suits Oily skin.",14,0,1,0,1,1
Patanjali Blush & Glow Face Wash #85,Mask,Himalaya,"Deep Clean, Pore-Care, Refreshing",Dry,Rs 677,"This face wash helps with Hydrating, Anti-Aging and suits Oily skin.",20,1,0,0,0,1
Lotus Herbals Potion Face Wash #86,Face Wash,Lakme,"Brightening, Acne-Free, Soothing",Dry,Rs 480,"This mask helps with Deep Clean, Brightening and suits Dry skin.",14,0,1,1,0,1
Biotique Aloe Vera Gel #87,Cleanser,Himalaya,"Hydrating, Brightening, Anti-Aging",Normal,Rs 216,"This face wash helps with Hydrating, Acne-Free and suits Dry skin.",20,0,0,1,0,1
Lakme Advanced Fairness Face Wash #88,Mask,Nykaa,"Acne-Free, Refreshing, Anti-Aging",Sensitive,Rs 661,"This mask helps with Soothing, Deep Clean and suits Normal skin.",16,0,1,1,1,0
Forest Essentials Neem Face Wash #89,Mask,Lotus Herbals,"Acne-Free, Deep Clean, Pore-Care",Sensitive,Rs 718,"This mask helps with Pore-Care, Nourishing and suits Normal skin.",10,0,1,0,1,0
Lotus Herbals Radiance Cream #90,Cream,Forest Essentials,"Anti-Aging, Glow, Acne-Free",Dry,Rs 832,"This mask helps with Nourishing, Deep Clean and suits Dry skin.",16,0,1,0,1,0
Lotus Herbals Aloe Vera Gel #91,Gel,Biotique,"Glow, Deep Clean, Pore-Care",Oily,Rs 502,"This cleanser helps with Refreshing, Hydrating and suits Dry skin.",19,1,0,1,0,1
Khadi Natural Skin Brightening Face Wash #92,Cleanser,VLCC,"Acne-Free, Glow, Hydrating",Normal,Rs 856,"This cream helps with Nourishing, Glow and suits Sensitive skin.",14,0,0,0,0,1
Khadi Natural Potion Face Wash #93,Face Wash,Lotus Herbals,"Glow, Acne-Free, Deep Clean",Oily,Rs 669,"This face wash helps with Deep Clean, Soothing and suits Dry skin.",24,0,1,1,1,1
Patanjali Advanced Fairness Face Wash #94,Cleanser,Himalaya,"Deep Clean, Refreshing, Anti-Aging",Normal,Rs 696,"This face wash helps with Deep Clean, Pore-Care and suits Dry skin.",11,1,1,1,1,0
Patanjali Radiance Cream #95,Face Wash,Forest Essentials,"Refreshing, Deep Clean, Soothing",Sensitive,Rs 420,"This face wash helps with Hydrating, Acne-Free and suits Combination skin.",24,0,0,1,1,1
Himalaya Aloe Vera Gel #96,Cream,Nykaa,"Hydrating, Pore-Care, Soothing",Normal,Rs 497,"This face wash helps with Brightening, Hydrating and suits Normal skin.",19,1,1,0,0,1
Forest Essentials Vitamin C Face Wash #97,Cream,Lakme,"Nourishing, Refreshing, Brightening",Oily,Rs 248,"This mask helps with Glow, Pore-Care and suits Dry skin.",21,1,0,0,1,0
VLCC Radiance Cream #98,Face Wash,Forest Essentials,"Soothing, Refreshing, Glow",Dry,Rs 932,"This gel helps with Anti-Aging, Refreshing and suits Sensitive skin.",11,0,1,0,1,0
Nykaa Advanced Fairness Face Wash #99,Face Wash,Khadi Natural,"Hydrating, Refreshing, Acne-Free",Oily,Rs 511,"This cream helps with Glow, Acne-Free and suits Combination skin.",14,1,1,1,0,0
Himalaya Blush & Glow Face Wash #100,Cleanser,Mamaearth,"Brightening, Soothing, Refreshing",Combination,Rs 610,"This face wash helps with Deep Clean, Hydrating and suits Normal skin.",16,1,1,0,1,0
Nykaa Aloe Vera Gel #101,Cream,Lakme,"Pore-Care, Hydrating, Refreshing",Dry,Rs 582,"This cream helps with Glow, Deep Clean and suits Sensitive skin.",14,0,1,0,1,1
Nykaa Blush & Glow Face Wash #102,Gel,Patanjali,"Hydrating, Deep Clean, Soothing",Normal,Rs 593,"This cream helps with Brightening, Glow and suits Combination skin.",12,1,1,0,0,0
Khadi Natural Advanced Fairness Face Wash #103,Mask,Forest Essentials,"Refreshing, Hydrating, Anti-Aging",Dry,Rs 986,"This gel helps with Deep Clean, Pore-Care and suits Dry skin.",15,0,0,0,0,0
Patanjali Skin Brightening Face Wash #104,Gel,Nykaa,"Nourishing, Hydrating, Pore-Care",Oily,Rs 893,"This face wash helps with Glow, Anti-Aging and suits Dry skin.",20,0,1,1,0,0
Forest Essentials Neem Face Wash #105,Gel,Forest Essentials,"Hydrating, Nourishing, Brightening",Normal,Rs 142,"This mask helps with Refreshing, Pore-Care and suits Oily skin.",18,0,0,0,1,0
Lotus Herbals Skin Whitening Gel Cream #106,Mask,VLCC,"Refreshing, Brightening, Glow",Dry,Rs 121,"This face wash helps with Acne-Free, Nourishing and suits Oily skin.",13,1,0,0,1,0
Lotus Herbals Skin Whitening Gel Cream #107,Mask,Patanjali,"Anti-Aging, Brightening, Nourishing",Combination,Rs 957,"This gel helps with Deep Clean, Anti-Aging and suits Normal skin.",10,1,1,0,1,0
Himalaya Blush & Glow Face Wash #108,Mask,Khadi Natural,"Acne-Free, Nourishing, Hydrating",Combination,Rs 926,"This face wash helps with Glow, Pore-Care and suits Dry skin.",19,1,1,0,1,0
Lotus Herbals Herbal Face Wash #109,Mask,Mamaearth,"Deep Clean, Pore-Care, Soothing",Normal,Rs 586,"This cream helps with Deep Clean, Refreshing and suits Dry skin.",15,1,0,0,0,0
Nykaa Potion Face Wash #110,Face Wash,Mamaearth,"Hydrating, Anti-Aging, Pore-Care",Dry,Rs 760,"This cream helps with Glow, Brightening and suits Dry skin.",21,1,0,0,0,1
VLCC Skin Brightening Face Wash #111,Mask,Patanjali,"Soothing, Anti-Aging, Nourishing",Sensitive,Rs 330,"This face wash helps with Glow, Deep Clean and suits Dry skin.",12,1,0,1,0,0
Lakme Skin Whitening Gel Cream #112,Cleanser,Biotique,"Acne-Free, Soothing, Pore-Care",Dry,Rs 337,"This gel helps with Anti-Aging, Brightening and suits Oily skin.",16,1,1,1,1,0
Nykaa Herbal Face Wash #113,Cleanser,Biotique,"Anti-Aging, Refreshing, Soothing",Combination,Rs 942,"This mask helps with Refreshing, Glow and suits Oily skin.",11,1,0,1,0,0
Biotique Blush & Glow Face Wash #114,Gel,Patanjali,"Nourishing, Acne-Free, Soothing",Dry,Rs 616,"This face wash helps with Soothing, Nourishing and suits Normal skin.",19,0,0,1,0,1
Nykaa Potion Face Wash #115,Mask,Nykaa,"Anti-Aging, Refreshing, Soothing",Normal,Rs 895,"This face wash helps with Deep Clean, Soothing and suits Combination skin.",16,0,1,0,1,1
Lotus Herbals Blush & Glow Face Wash #116,Cream,Khadi Natural,"Pore-Care, Glow, Refreshing",Combination,Rs 541,"This mask helps with Acne-Free, Refreshing and suits Dry skin.",10,0,1,0,0,1
Mamaearth Skin Whitening Gel Cream #117,Face Wash,Forest Essentials,"Anti-Aging, Pore-Care, Hydrating",Sensitive,Rs 225,"This cleanser helps with Acne-Free, Nourishing and suits Dry skin.",22,0,1,0,0,1
Himalaya Skin Whitening Gel Cream #118,Mask,Mamaearth,"Nourishing, Brightening, Hydrating",Combination,Rs 611,"This gel helps with Hydrating, Nourishing and suits Combination skin.",19,1,1,0,0,1
VLCC Blush & Glow Face Wash #119,Face Wash,Nykaa,"Pore-Care, Nourishing, Deep Clean",Dry,Rs 455,"This gel helps with Glow, Nourishing and suits Normal skin.",17,1,1,1,1,0
Himalaya Skin Brightening Face Wash #120,Cleanser,Lotus Herbals,"Refreshing, Pore-Care, Soothing",Dry,Rs 782,"This cream helps with Hydrating, Brightening and suits Dry skin.",10,1,0,0,1,0
Lakme Neem Face Wash #121,Cleanser,Nykaa,"Brightening, Deep Clean, Soothing",Combination,Rs 275,"This mask helps with Glow, Refreshing and suits Combination skin.",21,0,0,0,0,0
Lotus Herbals Vitamin C Face Wash #122,Cream,VLCC,"Anti-Aging, Soothing, Hydrating",Normal,Rs 571,"This face wash helps with Hydrating, Refreshing and suits Combination skin.",12,0,0,1,0,0
Khadi Natural Blush & Glow Face Wash #123,Cream,Patanjali,"Refreshing, Brightening, Acne-Free",Sensitive,Rs 434,"This gel helps with Acne-Free, Brightening and suits Oily skin.",20,0,1,0,1,1
Khadi Natural Potion Face Wash #124,Cream,Patanjali,"Hydrating, Pore-Care, Deep Clean",Dry,Rs 680,"This face wash helps with Refreshing, Deep Clean and suits Oily skin.",20,1,1,1,1,0
Khadi Natural Neem Face Wash #125,Cream,Forest Essentials,"Pore-Care, Hydrating, Deep Clean",Normal,Rs 536,"This mask helps with Pore-Care, Acne-Free and suits Sensitive skin.",20,1,0,0,1,1
Nykaa Advanced Fairness Face Wash #126,Cream,Khadi Natural,"Hydrating, Anti-Aging, Nourishing",Sensitive,Rs 141,"This mask helps with Soothing, Pore-Care and suits Sensitive skin.",11,0,1,0,0,1
Lakme Advanced Fairness Face Wash #127,Mask,Forest Essentials,"Brightening, Refreshing, Hydrating",Sensitive,Rs 140,"This mask helps with Nourishing, Refreshing and suits Dry skin.",24,0,0,0,0,0
Khadi Natural Skin Brightening Face Wash #128,Cleanser,VLCC,"Deep Clean, Nourishing, Pore-Care",Oily,Rs 277,"This gel helps with Pore-Care, Nourishing and suits Combination skin.",10,0,1,0,0,0
Lakme Neem Face Wash #129,Gel,Lakme,"Pore-Care, Glow, Nourishing",Sensitive,Rs 997,"This face wash helps with Brightening, Nourishing and suits Oily skin.",17,1,0,0,0,0
Lotus Herbals Blush & Glow Face Wash #130,Gel,Lakme,"Deep Clean, Refreshing, Nourishing",Dry,Rs 667,"This mask helps with Pore-Care, Anti-Aging and suits Oily skin.",19,1,0,1,0,0
Patanjali Advanced Fairness Face Wash #131,Mask,Himalaya,"Anti-Aging, Pore-Care, Nourishing",Combination,Rs 562,"This cleanser helps with Pore-Care, Glow and suits Combination skin.",12,1,1,1,0,1
VLCC Skin Whitening Gel Cream #132,Face Wash,Nykaa,"Anti-Aging, Refreshing, Brightening",Dry,Rs 675,"This cream helps with Anti-Aging, Glow and suits Normal skin.",22,0,0,1,0,0
Nykaa Advanced Fairness Face Wash #133,Mask,Patanjali,"Anti-Aging, Soothing, Pore-Care",Sensitive,Rs 931,"This mask helps with Hydrating, Refreshing and suits Combination skin.",23,0,1,0,1,1
Mamaearth Neem Face Wash #134,Mask,Nykaa,"Pore-Care, Anti-Aging, Acne-Free",Sensitive,Rs 418,"This cleanser helps with Pore-Care, Hydrating and suits Sensitive skin.",21,1,1,0,0,1
Patanjali Blush & Glow Face Wash #135,Face Wash,Forest Essentials,"Acne-Free, Nourishing, Hydrating",Normal,Rs 979,"This mask helps with Nourishing, Soothing and suits Dry skin.",19,0,0,0,1,1
Lotus Herbals Herbal Face Wash #136,Mask,Lakme,"Pore-Care, Hydrating, Anti-Aging",Sensitive,Rs 352,"This gel helps with Glow, Refreshing and suits Oily skin.",13,1,0,0,0,0
VLCC Aloe Vera Gel #137,Mask,Himalaya,"Nourishing, Brightening, Glow",Oily,Rs 835,"This face wash helps with Brightening, Nourishing and suits Combination skin.",11,0,1,0,1,1
